year,Country,Life_Expectancy
1962,Spain,69.51902439
1963,Spain,69.68121951
1964,Spain,70.3997561
1965,Spain,70.80926829
1966,Spain,71.05512195
1967,Spain,71.25292683
1968,Spain,71.53780488
1969,Spain,71.05756098
1970,Spain,72.02731707
1971,Spain,71.6302439
1972,Spain,72.81804878
1973,Spain,72.61073171
1974,Spain,72.9697561
1975,Spain,73.31878049
1976,Spain,73.64268293
1977,Spain,74.13195122
1978,Spain,74.29560976
1979,Spain,74.81878049
1980,Spain,75.34926829
1981,Spain,75.52853659
1982,Spain,76.13414634
1983,Spain,75.90902439
1984,Spain,76.29536585
1985,Spain,76.2595122
1986,Spain,76.5104878
1987,Spain,76.72804878
1988,Spain,76.74707317
1989,Spain,76.81365854
1990,Spain,76.83756098
1991,Spain,76.97121951
1992,Spain,77.41
1993,Spain,77.54658537
1994,Spain,77.90146341
1995,Spain,77.98073171
1996,Spain,78.1204878
1997,Spain,78.60414634
1998,Spain,78.66585366
1999,Spain,78.71707317
2000,Spain,78.96585366
2001,Spain,79.36829268
2002,Spain,79.56829268
2003,Spain,79.6195122
2004,Spain,79.87073171
2005,Spain,80.17073171
2006,Spain,80.82195122
2007,Spain,80.87317073
2008,Spain,81.17560976
2009,Spain,81.47560976
2010,Spain,81.62682927
2011,Spain,82.47560976
2012,Spain,82.42682927
2013,Spain,83.07804878
2014,Spain,83.22926829
2015,Spain,82.83170732
2016,Spain,83.32926829
2017,Spain,83.28292683
2018,Spain,83.43170732
2019,Spain,83.83170732
2020,Spain,82.33170732
2021,Spain,83.22926829
2022,Spain,83.08292683
1960,Sweden,73.00560976
1961,Sweden,73.47439024
1962,Sweden,73.3504878
1963,Sweden,73.55536585
1964,Sweden,73.73317073
1965,Sweden,73.86170732
1966,Sweden,74.07853659
1967,Sweden,74.12243902
1968,Sweden,73.97292683
1969,Sweden,74.08487805
1970,Sweden,74.64926829
1971,Sweden,74.62390244
1972,Sweden,74.71804878
1973,Sweden,74.86731707
1974,Sweden,74.9804878
1975,Sweden,74.98463415
1976,Sweden,74.96926829
1977,Sweden,75.3797561
1978,Sweden,75.46902439
1979,Sweden,75.52414634
1980,Sweden,75.74097561
1981,Sweden,76.02609756
1982,Sweden,76.32731707
1983,Sweden,76.55170732
1984,Sweden,76.81585366
1985,Sweden,76.66780488
1986,Sweden,76.93121951
1987,Sweden,77.09219512
1988,Sweden,76.97926829
1989,Sweden,77.72682927
1990,Sweden,77.53682927
1991,Sweden,77.66682927
1992,Sweden,77.99878049
1993,Sweden,78.0604878
1994,Sweden,78.6502439
1995,Sweden,78.7404878
1996,Sweden,78.95902439
1997,Sweden,79.19756098
1998,Sweden,79.33902439
1999,Sweden,79.44146341
2000,Sweden,79.64390244
2001,Sweden,79.79512195
2002,Sweden,79.84634146
2003,Sweden,80.09512195
2004,Sweden,80.49756098
2005,Sweden,80.54634146
2006,Sweden,80.74878049
2007,Sweden,80.9
2008,Sweden,81.1
2009,Sweden,81.35121951
2010,Sweden,81.45121951
2011,Sweden,81.80243902
2012,Sweden,81.70487805
2013,Sweden,81.95609756
2014,Sweden,82.25365854
2015,Sweden,82.20487805
2016,Sweden,82.30731707
2017,Sweden,82.4097561
2018,Sweden,82.55853659
2019,Sweden,83.1097561
2020,Sweden,82.35609756
2021,Sweden,83.05609756
2022,Sweden,83.1097561
1960,Thailand,51.035
1961,Thailand,52.364
1962,Thailand,52.79
1963,Thailand,53.244
1964,Thailand,53.978
1965,Thailand,54.712
1966,Thailand,55.254
1967,Thailand,55.754
1968,Thailand,56.207
1969,Thailand,56.932
1970,Thailand,57.711
1971,Thailand,58.524
1972,Thailand,59.051
1973,Thailand,59.836
1974,Thailand,60.552
1975,Thailand,61.272
1976,Thailand,61.978
1977,Thailand,62.354
1978,Thailand,62.74
1979,Thailand,63.209
1980,Thailand,64.012
1981,Thailand,64.595
1982,Thailand,65.163
1983,Thailand,65.789
1984,Thailand,66.733
1985,Thailand,67.587
1986,Thailand,68.419
1987,Thailand,69.448
1988,Thailand,69.689
1989,Thailand,70.122
1990,Thailand,70.445
1991,Thailand,70.717
1992,Thailand,70.885
1993,Thailand,71.068
1994,Thailand,71.227
1995,Thailand,70.948
1996,Thailand,71.653
1997,Thailand,72.501
1998,Thailand,72.862
1999,Thailand,72.542
2000,Thailand,72.316
2001,Thailand,72.613
2002,Thailand,72.93
2003,Thailand,73.155
2004,Thailand,73.08
2005,Thailand,73.82
2006,Thailand,74.938
2007,Thailand,75.187
2008,Thailand,75.492
2009,Thailand,75.842
2010,Thailand,76.131
2011,Thailand,76.421
2012,Thailand,76.772
2013,Thailand,77.083
2014,Thailand,77.415
2015,Thailand,77.717
2016,Thailand,78.049
2017,Thailand,78.394
2018,Thailand,78.662
2019,Thailand,78.975
2020,Thailand,79.274
2021,Thailand,78.715
2022,Thailand,79.68
1960,Turkiye,50.74
1961,Turkiye,51.55
1962,Turkiye,52.382
1963,Turkiye,53.173
1964,Turkiye,53.714
1965,Turkiye,54.258
1966,Turkiye,54.71
1967,Turkiye,55.361
1968,Turkiye,55.835
1969,Turkiye,56.378
1970,Turkiye,56.895
1971,Turkiye,57.409
1972,Turkiye,58.069
1973,Turkiye,58.521
1974,Turkiye,59.051
1975,Turkiye,59.497
1976,Turkiye,59.965
1977,Turkiye,60.743
1978,Turkiye,61.37
1979,Turkiye,61.912
1980,Turkiye,62.504
1981,Turkiye,63.01
1982,Turkiye,63.604
1983,Turkiye,64.146
1984,Turkiye,64.706
1985,Turkiye,65.24
1986,Turkiye,65.772
1987,Turkiye,66.278
1988,Turkiye,66.794
1989,Turkiye,67.245
1990,Turkiye,67.709
1991,Turkiye,68.169
1992,Turkiye,68.486
1993,Turkiye,68.911
1994,Turkiye,69.295
1995,Turkiye,69.609
1996,Turkiye,70.141
1997,Turkiye,70.57
1998,Turkiye,71.039
1999,Turkiye,70.695
2000,Turkiye,71.861
2001,Turkiye,72.231
2002,Turkiye,72.579
2003,Turkiye,72.89
2004,Turkiye,73.24
2005,Turkiye,73.534
2006,Turkiye,73.845
2007,Turkiye,74.193
2008,Turkiye,74.45
2009,Turkiye,74.765
2010,Turkiye,75.069
2011,Turkiye,74.941
2012,Turkiye,75.678
2013,Turkiye,76.297
2014,Turkiye,76.565
2015,Turkiye,76.646
2016,Turkiye,76.66
2017,Turkiye,77.141
2018,Turkiye,77.563
2019,Turkiye,77.832
2020,Turkiye,75.85
2021,Turkiye,76.032
2022,Turkiye,78.475
1960,United Arab Emirates,48.811
1961,United Arab Emirates,49.695
1962,United Arab Emirates,50.686
1963,United Arab Emirates,51.584
1964,United Arab Emirates,52.848
1965,United Arab Emirates,53.985
1966,United Arab Emirates,55.185
1967,United Arab Emirates,56.339
1968,United Arab Emirates,57.54
1969,United Arab Emirates,58.76
1970,United Arab Emirates,60.021
1971,United Arab Emirates,61.211
1972,United Arab Emirates,62.304
1973,United Arab Emirates,63.351
1974,United Arab Emirates,64.338
1975,United Arab Emirates,65.08
1976,United Arab Emirates,65.82
1977,United Arab Emirates,66.514
1978,United Arab Emirates,67.209
1979,United Arab Emirates,67.846
1980,United Arab Emirates,68.53
1981,United Arab Emirates,69.085
1982,United Arab Emirates,69.66
1983,United Arab Emirates,69.949
1984,United Arab Emirates,70.485
1985,United Arab Emirates,70.747
1986,United Arab Emirates,70.964
1987,United Arab Emirates,71.491
1988,United Arab Emirates,71.606
1989,United Arab Emirates,71.757
1990,United Arab Emirates,71.9
1991,United Arab Emirates,72.241
1992,United Arab Emirates,72.306
1993,United Arab Emirates,72.521
1994,United Arab Emirates,72.598
1995,United Arab Emirates,72.695
1996,United Arab Emirates,72.767
1997,United Arab Emirates,72.937
1998,United Arab Emirates,73.066
1999,United Arab Emirates,73.67
2000,United Arab Emirates,74.38
2001,United Arab Emirates,74.636
2002,United Arab Emirates,74.901
2003,United Arab Emirates,76.222
2004,United Arab Emirates,76.453
2005,United Arab Emirates,76.683
2006,United Arab Emirates,76.909
2007,United Arab Emirates,77.129
2008,United Arab Emirates,77.488
2009,United Arab Emirates,78.003
2010,United Arab Emirates,78.334
2011,United Arab Emirates,78.517
2012,United Arab Emirates,78.716
2013,United Arab Emirates,78.853
2014,United Arab Emirates,79.044
2015,United Arab Emirates,79.223
2016,United Arab Emirates,79.335
2017,United Arab Emirates,79.504
2018,United Arab Emirates,79.627
2019,United Arab Emirates,79.726
2020,United Arab Emirates,78.946
2021,United Arab Emirates,78.71
2022,United Arab Emirates,79.196
1960,United Kingdom,71.12682927
1961,United Kingdom,70.87804878
1962,United Kingdom,70.92682927
1963,United Kingdom,70.82682927
1964,United Kingdom,71.62439024
1965,United Kingdom,71.62439024
1966,United Kingdom,71.57317073
1967,United Kingdom,72.12439024
1968,United Kingdom,71.72439024
1969,United Kingdom,71.72195122
1970,United Kingdom,71.97317073
1971,United Kingdom,72.27317073
1972,United Kingdom,72.12439024
1973,United Kingdom,72.32439024
1974,United Kingdom,72.52439024
1975,United Kingdom,72.72439024
1976,United Kingdom,72.77560976
1977,United Kingdom,73.22439024
1978,United Kingdom,73.17560976
1979,United Kingdom,73.27560976
1980,United Kingdom,73.67560976
1981,United Kingdom,74.02682927
1982,United Kingdom,74.17804878
1983,United Kingdom,74.37804878
1984,United Kingdom,74.77804878
1985,United Kingdom,74.62926829
1986,United Kingdom,74.92926829
1987,United Kingdom,75.2804878
1988,United Kingdom,75.3804878
1989,United Kingdom,75.58292683
1990,United Kingdom,75.8804878
1991,United Kingdom,76.08292683
1992,United Kingdom,76.43414634
1993,United Kingdom,76.38536585
1994,United Kingdom,76.88536585
1995,United Kingdom,76.83658537
1996,United Kingdom,77.08780488
1997,United Kingdom,77.21097561
1998,United Kingdom,77.1902439
1999,United Kingdom,77.3902439
2000,United Kingdom,77.74146341
2001,United Kingdom,77.99268293
2002,United Kingdom,78.14390244
2003,United Kingdom,78.44634146
2004,United Kingdom,78.74634146
2005,United Kingdom,79.04878049
2006,United Kingdom,79.24878049
2007,United Kingdom,79.44878049
2008,United Kingdom,79.6
2009,United Kingdom,80.05121951
2010,United Kingdom,80.40243902
2011,United Kingdom,80.95121951
2012,United Kingdom,80.90487805
2013,United Kingdom,81.00487805
2014,United Kingdom,81.30487805
2015,United Kingdom,80.95609756
2016,United Kingdom,81.15609756
2017,United Kingdom,81.25609756
2018,United Kingdom,81.25609756
2019,United Kingdom,81.40487805
2020,United Kingdom,80.35121951
2021,United Kingdom,80.7
2022,United Kingdom,82.05853659
1960,United States,69.77073171
1961,United States,70.27073171
1962,United States,70.1195122
1963,United States,69.91707317
1964,United States,70.16585366
1965,United States,70.21463415
1966,United States,70.21219512
1967,United States,70.56097561
1968,United States,69.95121951
1969,United States,70.50731707
1970,United States,70.80731707
1971,United States,71.10731707
1972,United States,71.15609756
1973,United States,71.35609756
1974,United States,71.95609756
1975,United States,72.60487805
1976,United States,72.85609756
1977,United States,73.25609756
1978,United States,73.35609756
1979,United States,73.80487805
1980,United States,73.6097561
1981,United States,74.0097561
1982,United States,74.36097561
1983,United States,74.46341463
1984,United States,74.56341463
1985,United States,74.56341463
1986,United States,74.61463415
1987,United States,74.76585366
1988,United States,74.76585366
1989,United States,75.01707317
1990,United States,75.21463415
1991,United States,75.36585366
1992,United States,75.61707317
1993,United States,75.4195122
1994,United States,75.6195122
1995,United States,75.62195122
1996,United States,76.02682927
1997,United States,76.42926829
1998,United States,76.5804878
1999,United States,76.58292683
2000,United States,76.63658537
2001,United States,76.83658537
2002,United States,76.93658537
2003,United States,77.03658537
2004,United States,77.48780488
2005,United States,77.48780488
2006,United States,77.68780488
2007,United States,77.98780488
2008,United States,78.03902439
2009,United States,78.3902439
2010,United States,78.54146341
2011,United States,78.64146341
2012,United States,78.74146341
2013,United States,78.74146341
2014,United States,78.84146341
2015,United States,78.6902439
2016,United States,78.53902439
2017,United States,78.53902439
2018,United States,78.63902439
2019,United States,78.78780488
2020,United States,76.9804878
2021,United States,76.32926829
2022,United States,77.43414634
